Index,NumberOfResults,ExecutionTimeMilliSeconds,ExecutionTimeSeconds,ExecutionTimeMinutes
Q1,1200712,210377,210,3
Q2,282358,183202,183,3
Q3,89880,18421,18,0
Q4,80129,25443,25,0
Q5,10,45,0,0
Q6,22566,49137,49,0
Q7,5509,470,0,0
Q8,13,18,0,0
Q9,3,37,0,0
Q10,52,153,0,0
Q11,1439679,20477,20,0
Q12,13111,613,0,0
Q13,318414,3078,3,0
Q14,11,73,0,0
Q15,55,177,0,0
Q16,210003,140726,140,2
Q17,98595,67218,67,1
Q18,93586,85234,85,1
Q19,1603,2870,2,0
Q20,11969,26085,26,0
Q21,924,994,0,0
Q22,1831,2693,2,0
Q23,5,53,0,0
Q24,48146,86960,86,1
Q25,376,549,0,0
Q26,13628,10856,10,0
Q27,687,398,0,0
Q28,141570,43396,43,0
Q29,31123,32115,32,0
Q30,7,7,0,0
