id:ID|object_value|object_type|type|object_iri|:LABEL
0|"\\"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/UsaCountry|string;Node;KG2PG
1|"po\ns"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/UsaCountry|string;Node;KG2PG
2|"*C. polyandra ""sensu Miq., nonRoxb."""|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/MIT|string;Node;KG2PG
3|"This is a ""quote"" inside the description."|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/Math101|string;Node;KG2PG
4|"STANFORD UNIVERSITY USA"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/Stanford|string;Node;KG2PG
5|"Massachusetts Institute of Technology"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/MIT|string;Node;KG2PG
6|http://dbpedia.org/resource/Steins|IRI|STRING|http://x.y/MIT|IRI;Node;KG2PG
7|"Web Engineering"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/Bob|string;Node;KG2PG
8|1995-01-01|http://www.w3.org/2001/XMLSchema#date|DATE|http://x.y/Bob|date;Node;KG2PG
9|1994|http://www.w3.org/2001/XMLSchema#gYear|INT|http://x.y/John|gYear;Node;KG2PG
10|"05-05"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/John|string;Node;KG2PG
11|"450 Serra Mall, Stanford, CA 94305"|http://www.w3.org/2001/XMLSchema#string|STRING|http://x.y/Stanford|string;Node;KG2PG
